      Date,    Time,Temp,SpCond,Turbidity,DateTime
07/10/2024,11:45:50,12.97,492,3.2,10/07/2024 11:45:00
07/10/2024,12:00:50,13,492,3.1,10/07/2024 12:00:00
07/10/2024,12:15:50,13.03,492,3.8,10/07/2024 12:15:00
07/10/2024,12:30:50,13.05,492,3.2,10/07/2024 12:30:00
07/10/2024,12:45:50,13.08,492,3.2,10/07/2024 12:45:00
07/10/2024,13:00:50,13.12,491,3.1,10/07/2024 13:00:00
07/10/2024,13:15:50,13.15,491,2.9,10/07/2024 13:15:00
07/10/2024,13:30:50,13.19,491,3.1,10/07/2024 13:30:00
07/10/2024,13:45:50,13.23,491,3.7,10/07/2024 13:45:00
07/10/2024,14:00:51,13.28,491,3.4,10/07/2024 14:00:00
07/10/2024,14:15:51,13.32,491,3,10/07/2024 14:15:00
07/10/2024,14:30:50,13.35,490,3.2,10/07/2024 14:30:00
07/10/2024,14:45:50,13.38,490,3.6,10/07/2024 14:45:00
07/10/2024,15:00:50,13.43,490,2.9,10/07/2024 15:00:00
07/10/2024,15:15:50,13.45,490,3,10/07/2024 15:15:00
07/10/2024,15:30:50,13.48,489,3,10/07/2024 15:30:00
07/10/2024,15:45:50,13.49,490,2.9,10/07/2024 15:45:00
07/10/2024,16:00:50,13.49,489,3,10/07/2024 16:00:00
07/10/2024,16:15:50,13.48,489,3,10/07/2024 16:15:00
07/10/2024,16:30:50,13.46,489,2.9,10/07/2024 16:30:00
07/10/2024,16:45:50,13.46,489,3.1,10/07/2024 16:45:00
07/10/2024,17:00:50,13.45,489,3,10/07/2024 17:00:00
07/10/2024,17:15:50,13.44,489,3.1,10/07/2024 17:15:00
07/10/2024,17:30:50,13.43,489,3,10/07/2024 17:30:00
07/10/2024,17:45:50,13.43,489,2.8,10/07/2024 17:45:00
07/10/2024,18:00:50,13.42,489,2.8,10/07/2024 18:00:00
07/10/2024,18:15:50,13.41,489,2.8,10/07/2024 18:15:00
07/10/2024,18:30:50,13.39,489,2.8,10/07/2024 18:30:00
07/10/2024,18:45:50,13.36,490,2.8,10/07/2024 18:45:00
07/10/2024,19:00:51,13.34,490,2.8,10/07/2024 19:00:00
07/10/2024,19:15:50,13.33,490,3.3,10/07/2024 19:15:00
07/10/2024,19:30:50,13.32,490,3.4,10/07/2024 19:30:00
07/10/2024,19:45:50,13.32,490,3.2,10/07/2024 19:45:00
07/10/2024,20:00:50,13.32,490,3.1,10/07/2024 20:00:00
07/10/2024,20:15:50,13.32,490,3.3,10/07/2024 20:15:00
07/10/2024,20:30:50,13.31,490,2.9,10/07/2024 20:30:00
07/10/2024,20:45:51,13.31,490,2.8,10/07/2024 20:45:00
07/10/2024,21:00:50,13.31,490,3.3,10/07/2024 21:00:00
07/10/2024,21:15:50,13.31,491,2.9,10/07/2024 21:15:00
07/10/2024,21:30:50,13.3,491,2.7,10/07/2024 21:30:00
07/10/2024,21:45:50,13.29,491,2.8,10/07/2024 21:45:00
07/10/2024,22:00:51,13.29,491,2.5,10/07/2024 22:00:00
07/10/2024,22:15:50,13.28,491,2.8,10/07/2024 22:15:00
07/10/2024,22:30:50,13.28,491,2.8,10/07/2024 22:30:00
07/10/2024,22:45:50,13.28,491,2.8,10/07/2024 22:45:00
07/10/2024,23:00:50,13.27,491,2.7,10/07/2024 23:00:00
07/10/2024,23:15:50,13.26,492,150.5,10/07/2024 23:15:00
07/10/2024,23:30:50,13.25,492,8.8,10/07/2024 23:30:00
07/10/2024,23:45:50,13.24,492,5.2,10/07/2024 23:45:00
08/10/2024,00:00:50,13.23,492,105.5,10/08/2024 00:00:00
08/10/2024,00:15:50,13.22,493,89.2,10/08/2024 00:15:00
08/10/2024,00:30:50,13.2,493,20,10/08/2024 00:30:00
08/10/2024,00:45:50,13.19,493,11.2,10/08/2024 00:45:00
08/10/2024,01:00:50,13.18,493,4.9,10/08/2024 01:00:00
08/10/2024,01:15:51,13.17,493,542.6,10/08/2024 01:15:00
08/10/2024,01:30:50,13.16,493,6.8,10/08/2024 01:30:00
08/10/2024,01:45:50,13.14,493,5.6,10/08/2024 01:45:00
08/10/2024,02:00:51,13.13,494,5.4,10/08/2024 02:00:00
08/10/2024,02:15:50,13.13,494,79.8,10/08/2024 02:15:00
08/10/2024,02:30:50,13.12,494,6,10/08/2024 02:30:00
08/10/2024,02:45:50,13.11,494,110.1,10/08/2024 02:45:00
08/10/2024,03:00:50,13.11,494,2.8,10/08/2024 03:00:00
08/10/2024,03:15:50,13.11,494,2.9,10/08/2024 03:15:00
08/10/2024,03:30:50,13.11,494,2.8,10/08/2024 03:30:00
08/10/2024,03:45:50,13.1,493,2.9,10/08/2024 03:45:00
08/10/2024,04:00:50,13.1,493,2.6,10/08/2024 04:00:00
08/10/2024,04:15:51,13.1,493,2.9,10/08/2024 04:15:00
08/10/2024,04:30:50,13.09,493,2.8,10/08/2024 04:30:00
08/10/2024,04:45:50,13.08,493,2.8,10/08/2024 04:45:00
08/10/2024,05:00:51,13.07,493,2.8,10/08/2024 05:00:00
08/10/2024,05:15:50,13.07,493,2.8,10/08/2024 05:15:00
08/10/2024,05:30:50,13.06,493,2.9,10/08/2024 05:30:00
08/10/2024,05:45:50,13.05,493,2.8,10/08/2024 05:45:00
08/10/2024,06:00:50,13.04,494,2.8,10/08/2024 06:00:00
08/10/2024,06:15:50,13.04,493,2.9,10/08/2024 06:15:00
08/10/2024,06:30:50,13.03,493,2.9,10/08/2024 06:30:00
08/10/2024,06:45:50,13.02,494,2.9,10/08/2024 06:45:00
08/10/2024,07:00:50,13.01,494,3,10/08/2024 07:00:00
08/10/2024,07:15:50,13,493,2.9,10/08/2024 07:15:00
08/10/2024,07:30:51,12.99,494,3,10/08/2024 07:30:00
08/10/2024,07:45:50,12.98,494,3,10/08/2024 07:45:00
08/10/2024,08:00:51,12.97,493,2.8,10/08/2024 08:00:00
08/10/2024,08:15:51,12.96,493,3.2,10/08/2024 08:15:00
08/10/2024,08:30:51,12.94,493,2.9,10/08/2024 08:30:00
08/10/2024,08:45:50,12.94,493,2.9,10/08/2024 08:45:00
08/10/2024,09:00:51,12.93,493,3.1,10/08/2024 09:00:00
08/10/2024,09:15:51,12.93,493,3.4,10/08/2024 09:15:00
08/10/2024,09:30:51,12.92,493,3.4,10/08/2024 09:30:00
08/10/2024,09:45:50,12.92,492,3.3,10/08/2024 09:45:00
08/10/2024,10:00:50,12.91,492,3.3,10/08/2024 10:00:00
08/10/2024,10:15:50,12.91,493,3.6,10/08/2024 10:15:00
08/10/2024,10:30:51,12.9,492,3.4,10/08/2024 10:30:00
08/10/2024,10:45:51,12.9,492,3.2,10/08/2024 10:45:00
08/10/2024,11:00:50,12.91,492,2.7,10/08/2024 11:00:00
08/10/2024,11:15:50,12.91,492,3.3,10/08/2024 11:15:00
08/10/2024,11:30:50,12.92,492,3.2,10/08/2024 11:30:00
08/10/2024,11:45:50,12.94,491,2.9,10/08/2024 11:45:00
08/10/2024,12:00:50,12.96,491,2.9,10/08/2024 12:00:00
08/10/2024,12:15:50,12.98,491,3.1,10/08/2024 12:15:00
08/10/2024,12:30:50,13.01,491,2.9,10/08/2024 12:30:00
08/10/2024,12:45:50,13.04,490,2.8,10/08/2024 12:45:00
08/10/2024,13:00:51,13.07,490,3.1,10/08/2024 13:00:00
08/10/2024,13:15:51,13.09,490,2.6,10/08/2024 13:15:00
08/10/2024,13:30:51,13.12,490,2.8,10/08/2024 13:30:00
08/10/2024,13:45:51,13.16,489,2.9,10/08/2024 13:45:00
08/10/2024,14:00:50,13.2,489,2.9,10/08/2024 14:00:00
08/10/2024,14:15:50,13.23,489,2.9,10/08/2024 14:15:00
08/10/2024,14:30:51,13.27,488,2.9,10/08/2024 14:30:00
08/10/2024,14:45:50,13.3,488,2.8,10/08/2024 14:45:00
08/10/2024,15:00:50,13.33,488,2.9,10/08/2024 15:00:00
08/10/2024,15:15:50,13.34,488,4.2,10/08/2024 15:15:00
08/10/2024,15:30:50,13.36,488,2.9,10/08/2024 15:30:00
08/10/2024,15:45:50,13.39,487,2.8,10/08/2024 15:45:00
08/10/2024,16:00:50,13.41,487,2.8,10/08/2024 16:00:00
08/10/2024,16:15:50,13.44,487,3,10/08/2024 16:15:00
08/10/2024,16:30:50,13.47,487,2.9,10/08/2024 16:30:00
08/10/2024,16:45:50,13.49,486,2.9,10/08/2024 16:45:00
08/10/2024,17:00:51,13.5,486,2.7,10/08/2024 17:00:00
08/10/2024,17:15:51,13.52,486,2.8,10/08/2024 17:15:00
08/10/2024,17:30:50,13.51,486,2.8,10/08/2024 17:30:00
08/10/2024,17:45:50,13.51,486,3.4,10/08/2024 17:45:00
08/10/2024,18:00:50,13.5,486,2.9,10/08/2024 18:00:00
08/10/2024,18:15:50,13.49,486,2.7,10/08/2024 18:15:00
08/10/2024,18:30:50,13.47,486,2.9,10/08/2024 18:30:00
08/10/2024,18:45:50,13.46,486,2.8,10/08/2024 18:45:00
08/10/2024,19:00:51,13.45,485,2.8,10/08/2024 19:00:00
08/10/2024,19:15:51,13.43,485,2.8,10/08/2024 19:15:00
08/10/2024,19:30:50,13.42,485,2.9,10/08/2024 19:30:00
08/10/2024,19:45:50,13.41,485,2.6,10/08/2024 19:45:00
08/10/2024,20:00:50,13.39,485,2.8,10/08/2024 20:00:00
08/10/2024,20:15:50,13.37,485,3.1,10/08/2024 20:15:00
08/10/2024,20:30:50,13.35,485,2.7,10/08/2024 20:30:00
08/10/2024,20:45:50,13.33,485,2.7,10/08/2024 20:45:00
08/10/2024,21:00:50,13.31,485,2.9,10/08/2024 21:00:00
08/10/2024,21:15:50,13.29,485,2.7,10/08/2024 21:15:00
08/10/2024,21:30:50,13.27,485,2.8,10/08/2024 21:30:00
08/10/2024,21:45:51,13.26,484,2.4,10/08/2024 21:45:00
08/10/2024,22:00:51,13.24,484,2.7,10/08/2024 22:00:00
08/10/2024,22:15:50,13.23,484,2.7,10/08/2024 22:15:00
08/10/2024,22:30:50,13.22,484,2.8,10/08/2024 22:30:00
08/10/2024,22:45:50,13.2,484,2.9,10/08/2024 22:45:00
08/10/2024,23:00:50,13.19,484,2.8,10/08/2024 23:00:00
08/10/2024,23:15:51,13.17,484,2.9,10/08/2024 23:15:00
08/10/2024,23:30:50,13.15,483,2.7,10/08/2024 23:30:00
08/10/2024,23:45:50,13.13,483,2.9,10/08/2024 23:45:00
09/10/2024,00:00:50,13.11,483,2.8,10/09/2024 00:00:00
09/10/2024,00:15:50,13.1,483,2.8,10/09/2024 00:15:00
09/10/2024,00:30:51,13.08,483,3,10/09/2024 00:30:00
09/10/2024,00:45:51,13.06,482,2.9,10/09/2024 00:45:00
09/10/2024,01:00:51,13.04,482,2.9,10/09/2024 01:00:00
